notification_id,job_name,exam_name,department,organization,qualification,age,salary,pay_level,vacancies,state,location,category,application_start,application_end,exam_date,result_date,official_website,official_pdf,apply_link,selection_process,application_fee,status,verification_status,verification_source,verification_timestamp,confidence,priority,notes,tags,first_seen,last_checked,days_left
d3fc6c6dc095,ISRO URSC:02:2026: Recruitment to the posts of Junior Research Fellow (JRF),,"U R Rao Satellite Centre,(URSC)",ISRO,M.E/M.Tech or B.E/B.Tech first class (post-wise; check GATE/NET requirement in notification),,,,,All India,Bengaluru,Job,2026-06-12,2026-07-11,,,https://www.isro.gov.in/ViewAllOpportunities.html,,https://www.isro.gov.in/ViewAllOpportunities.html,Shortlist + interview,,Not Applied,Verified with Official Website,official:isro.gov.in,2026-07-09T20:07:45,0.85,Critical,,"isro,space,central,bengaluru",2026-07-09T19:37:59,2026-07-09T20:07:45,2
8f0a7d9e4c32,ISRO SDSC SHAR/RMT/02/2026: Recruitment to the position of Research Associat (RA-I).,,"SatishDhawan Space Centre (SDSC) SHAR , Sriharikota",ISRO,,,,,,All India,"SatishDhawan Space Centre (SDSC) SHAR , Sriharikota",Job,2026-06-23,2026-07-17,,,https://www.isro.gov.in/ViewAllOpportunities.html,,https://www.isro.gov.in/ViewAllOpportunities.html,,,Not Applied,Verified with Official Website,official:isro.gov.in,2026-07-09T20:07:45,0.85,Medium,Advertisement SDSC SHAR/RMT/02/2026,"isro,space,central",2026-07-09T19:38:00,2026-07-09T20:07:45,8
20ce9957b1ad,"ISRO ISTRAC:02:2026: Recruitment to the posts of Technician 'B', Draughtsman 'B', Technical Assistant, Scientific Assistant, Library Assistant 'A' and Cook 'A'",,"ISRO Telemetry, Tracking and Command Network (ISTRAC)",ISRO,Diploma / B.Sc / ITI per post,18-35,,,26,All India,Bengaluru,Job,2026-06-27,2026-07-20,,,https://www.isro.gov.in/ViewAllOpportunities.html,,https://www.isro.gov.in/ViewAllOpportunities.html,Written test + skill test,,Not Applied,Verified with Official Website,official:isro.gov.in,2026-07-09T20:07:45,0.85,Medium,,"isro,space,central,bengaluru",2026-07-09T19:37:59,2026-07-09T20:07:45,11
7dad31edacce,IBPS PO 2026 (CRP PO/MT-XVI) - 6715 Probationary Officers,,11 Public Sector Banks,IBPS,Graduation in any discipline,20-30 as on 01-07-2026,"Basic Rs 48,480 JMGS-I",,6715,All India,All India,Exam,2026-07-01,2026-07-21,"Prelims 22-23 Aug 2026, Mains 04 Oct 2026",,https://www.ibps.in/,,https://www.ibps.in/,Prelims + Mains + Interview,"Rs 850 (Gen), Rs 175 (SC/ST/PwBD)",Not Applied,Verified with Official Website,official:ibps.in,2026-07-09T19:37:59,0.85,Medium,,"ibps,banking,po",2026-07-09T19:37:59,2026-07-09T20:07:45,12
f47eec778e67,KEA Armed Police Constable (CAR/DAR) 2026 - 1600 posts,,Government of Karnataka,Karnataka State Police via KEA,SSLC / 10th pass,"GM max 33, 2A/2B/3A/3B 35, SC/ST/Cat-1 38","Rs 37,500-76,100",,1600,Karnataka,Karnataka incl. Bengaluru CAR,Job,2026-06-22,2026-07-22,,,https://cetonline.karnataka.gov.in/kea/,,https://cetonline.karnataka.gov.in/kea/,ET/PST + written exam,,Not Applied,Verified with Official Website,official:cetonline.karnataka.gov.in,2026-07-09T19:38:00,0.85,Medium,,"kea,ksp,karnataka,constable,10th pass",2026-07-09T19:38:00,2026-07-09T20:07:45,13
0eaccdaa75d8,Agniveer Vayu Intake 02/2027 - Indian Air Force,,Ministry of Defence,Indian Air Force (CASB),12th PCM 50% or 3-yr engineering diploma,17.5-21 (birth window in brochure),"Rs 30,000/month year-1 package",,,All India,All India,Job,2026-07-06,2026-07-26,CBT expected Sep-Oct 2026,,https://agnipathvayu.cdac.in/AV/,,https://agnipathvayu.cdac.in/AV/,Online CBT + physical + adaptability + medical,Rs 550 + GST,Not Applied,Verified with Official Website,official:agnipathvayu.cdac.in,2026-07-09T19:38:00,0.85,Medium,,"defence,air force,agniveer,12th pass",2026-07-09T19:38:00,2026-07-09T20:07:45,17
4180e90cf82e,"Karnataka High Court Data Entry Assistant 2026 (HCRB/DEA-6,7/2026) - 28 posts",,Karnataka Judiciary,High Court of Karnataka,Degree with 55% + Senior Grade Typewriting (English and Kannada) + computer certificate,,,,28,Karnataka,Bengaluru,Job,2026-06-29,2026-07-28,,,https://judiciary.karnataka.gov.in/,,https://judiciary.karnataka.gov.in/recruitment/hck/asr/home.php,Typing test + interview,"Rs 350 (GM), Rs 200 (SC/ST/Cat-1)",Not Applied,Verified with Official Website,official:judiciary.karnataka.gov.in,2026-07-09T19:38:00,0.85,Medium,,"karnataka,high court,data entry,graduate",2026-07-09T19:38:00,2026-07-09T20:07:45,19
9b522ef833ed,IOCL Apprentices 2026 (Refineries Division) - 1524 seats,,Refineries Division,Indian Oil Corporation Ltd,ITI / Diploma (trade-wise),18-24 as on 30-06-2026,,,1524,All India,"Bongaigaon, Gujarat, Mathura, Paradip refineries",Apprenticeship,,2026-07-28,,,https://iocl.com/apprenticeships,,https://iocl.com/apprenticeships,,Nil,Not Applied,Verified with Official Website,official:iocl.com,2026-07-09T19:38:00,0.85,Medium,,"iocl,apprentice,psu",2026-07-09T19:38:00,2026-07-09T20:07:45,19
1a5b8cc9c6c0,RRB Technician 2026 (CEN 02/2026) - Technician Gr-I Signal and Gr-III,,Ministry of Railways,Railway Recruitment Boards,Gr-I Signal: B.Sc/B.E (Physics/Electronics/CS/IT); Gr-III: ITI or 10+2 PCM,"Gr-I 18-36, Gr-III 18-33",Level 5 / Level 2,,6557,All India,All zones incl. RRB Bengaluru,Job,2026-06-30,2026-07-29,CBT expected Oct-Dec 2026,,https://rrb.indianrailways.gov.in/,https://www.rrbthiruvananthapuram.gov.in/assets/pdf/Detailed_CEN_02_20262.pdf,https://www.rrbapply.gov.in,Single CBT + DV + Medical,"Rs 500 (Rs 400 refund after CBT), Rs 250 SC/ST (full refund)",Not Applied,Verified with Official PDF,official:rrbthiruvananthapuram.gov.in,2026-07-09T19:37:59,0.95,Medium,,"rrb,railway,technician,cs eligible",2026-07-09T19:37:59,2026-07-09T20:07:45,20
5b55eb7f7496,"Karnataka High Court Assistant Court Secretary 2026 (HCRB/ACS-1,2/2026) - 73 posts",,Karnataka Judiciary,High Court of Karnataka,Any Bachelor's degree; English shorthand skill tested,,,,73,Karnataka,Bengaluru,Job,2026-07-01,2026-07-30,,,https://judiciary.karnataka.gov.in/,,https://judiciary.karnataka.gov.in/recruitment/hck/asr/home.php,Shorthand test + interview,,Not Applied,Verified with Official Website,official:judiciary.karnataka.gov.in,2026-07-09T19:38:00,0.85,Medium,,"karnataka,high court,graduate,bengaluru",2026-07-09T19:38:00,2026-07-09T20:07:45,21
